;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
1027;2016;11;17;48454.13888888889;48417.819444444445;48826.48611111111;48870.916666666664
1088;2016;11;18;48516.555555555555;48522.555555555555;48971.52777777778;48971.65277777778
1149;2016;11;19;46904.041666666664;46935.38888888889;47816.09722222222;47845.40277777778
1210;2016;11;20;46265.375;46333.25;47122.416666666664;47213.26388888889
1271;2016;11;21;48523.583333333336;48465.61111111111;48961.625;48872.38888888889
1332;2016;11;22;48536.01388888889;48615.569444444445;48905.791666666664;49077.51388888889
1393;2016;11;23;48342.194444444445;48490.430555555555;48723.916666666664;48892.77777777778
1454;2016;11;24;48301.333333333336;48310.444444444445;48602.09722222222;48739.319444444445
1515;2016;11;25;48010.805555555555;48111.833333333336;48378.23611111111;48476.52777777778
1576;2016;11;26;46360.47222222222;46429.083333333336;47239.11111111111;47237.819444444445
1637;2016;11;27;45446.083333333336;45664.88888888889;46388.416666666664;46598.430555555555
1698;2016;11;28;47577.555555555555;47758.625;47842.958333333336;48074.25
1755;2016;11;29;47805.055555555555;47979.666666666664;48145.13888888889;48402.48611111111
1810;2016;11;30;48142.86111111111;48214.791666666664;48636.02777777778;48730.569444444445
57;2016;12;01;48565.625;48629.76388888889;49198.13888888889;49332.375
118;2016;12;02;48757.930555555555;48757.52777777778;49350.09722222222;49315.666666666664
179;2016;12;03;47345.40277777778;47430.708333333336;48303.77777777778;48403.88888888889
240;2016;12;04;46569.125;46726.34722222222;47436.27777777778;47618.23611111111
301;2016;12;05;48866.01388888889;49004.166666666664;49503.34722222222;49523.73611111111
362;2016;12;06;48923.47222222222;49068.97222222222;49428.76388888889;49556.72222222222
423;2016;12;07;49384.041666666664;49433.34722222222;49864.791666666664;49936.61111111111
484;2016;12;08;49588.90277777778;49645.65277777778;49990.625;50096.22222222222
545;2016;12;09;49104.541666666664;49250.26388888889;49424.59722222222;49621.333333333336
606;2016;12;10;47274.819444444445;47350.930555555555;47902.625;47957.694444444445
667;2016;12;11;46628.5;46769.930555555555;47324.36111111111;47525.98611111111
